time,chanel1,chanel2,chanel3,chanel4,chanel5,chanel6,chanel7,chanel8,position
24.484801054000854,67,81,37,47,39,36,63,45,1
24.507550477981567,65,85,44,52,42,41,62,46,1
24.52987241744995,69,91,48,49,37,41,60,48,1
24.54464316368103,71,92,48,49,37,42,59,50,1
24.567956686019897,66,69,45,55,46,43,54,46,1
24.590007781982422,63,60,47,55,48,41,54,50,1
24.604506731033325,61,58,44,56,47,45,60,50,1
24.627347707748413,62,50,37,54,47,43,63,54,1
24.650044679641724,62,48,37,52,48,43,63,52,1
24.664442777633667,59,59,35,45,41,43,67,51,1
24.686996698379517,67,68,34,44,42,44,74,52,1
24.709487199783325,65,68,33,41,41,37,68,56,1
24.724338054656982,57,70,38,43,41,36,64,50,1
24.747356414794922,58,72,41,47,45,40,67,51,1
24.76990294456482,64,66,40,44,44,37,62,53,1
24.78425884246826,58,59,41,47,45,39,60,49,1
24.807788133621216,55,56,38,45,44,37,57,42,1
24.829898834228516,69,58,36,42,42,37,57,49,1
24.84392762184143,69,63,34,42,40,39,57,50,1
24.867762565612793,64,62,35,44,42,40,61,46,1
24.889869213104248,61,63,32,41,38,36,54,48,1
24.904186725616455,63,61,35,45,39,37,56,49,1
24.934889316558838,49,56,33,46,43,39,58,45,1
24.949848651885986,47,50,32,42,39,33,55,44,1
24.964165449142456,45,48,31,40,36,31,52,47,1
24.987361669540405,59,56,34,39,39,32,51,45,1
25.011050701141357,64,59,34,37,39,31,55,45,1
25.024656772613525,67,60,35,37,37,29,49,43,1
25.047670364379883,68,69,37,43,41,34,51,42,1
25.069580554962158,70,75,38,44,41,35,51,40,1
25.09166979789734,59,69,36,45,38,39,56,47,1
25.10858941078186,54,69,36,45,39,41,54,46,1
25.129166841506958,54,73,37,43,38,42,51,46,1
25.151596546173096,54,85,41,44,37,41,48,45,1
25.168813943862915,56,79,40,45,38,41,52,50,1
25.189412355422974,58,80,39,45,40,41,53,45,1
25.213791608810425,60,83,40,49,40,40,55,51,1
25.22993779182434,57,80,40,52,47,41,59,56,1
25.249150037765503,54,64,32,47,45,40,62,58,1
25.27175498008728,50,66,34,47,44,39,62,56,1
25.288542985916138,50,65,41,62,54,45,60,56,1
25.30920433998108,48,57,40,58,52,45,54,52,1
25.332043886184692,45,56,37,55,46,45,50,45,1
25.34844422340393,45,47,39,58,46,45,45,46,1
25.369184494018555,53,57,43,60,48,50,51,45,1
25.39172649383545,51,55,36,44,34,42,48,48,1
25.408486366271973,50,65,37,44,36,43,48,45,1
25.42927646636963,47,68,39,42,37,41,49,46,1
25.452260494232178,56,81,38,40,37,41,49,46,1
25.467560052871704,56,81,37,46,41,35,43,45,1
25.48934578895569,58,84,40,52,44,40,47,43,1
25.511849403381348,59,76,40,53,41,39,51,46,1
